AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
9,Sikta,MD ASLAM,Independent,1722,-95451,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,PUNAM SHARMA,Jagrook Janta Party,737,-96436,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,NOTA,None of the Above,4568,-92605,,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
10,Raxaul,PRAMOD KUMAR SINHA,Bharatiya Janata Party,106765,17878,won,215448,PURVI  CHAMPARAN,GENERAL,2474209
10,Raxaul,SHYAM BIHARI PRASAD,Indian National Congress,88887,-17878,lost,215448,PURVI  CHAMPARAN,GENERAL,2474209
10,Raxaul,KAPIL DEV PRASAD,Jan Suraaj Party,14656,-92109,lost,215448,PURVI  CHAMPARAN,GENERAL,2474209
10,Raxaul,DHURENDRA KUMAR,Independent,1460,-105305,lost,215448,PURVI  CHAMPARAN,GENERAL,2474209
10,Raxaul,MD KALIM,Independent,1170,-105595,lost,215448,PURVI  CHAMPARAN,GENERAL,2474209
10,Raxaul,NOTA,None of the Above,2510,-104255,,215448,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,RAJESH KUMAR ALIAS BABLU GUPTA,Lok Janshakti Party (Ram Vilas),98875,58191,won,198790,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,SHYAM KISHOR CHAUDHARY,Janshakti Janta Dal,40684,-58191,lost,198790,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,ZULFIQUAR AFTAB,Bahujan Samaj Party,25036,-73839,lost,198790,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,AJAY KUMAR JHA,Jan Suraaj Party,24718,-74157,lost,198790,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,JITENDRA TIWARI,Kisan Suraj Dal,4250,-94625,lost,198790,PURVI  CHAMPARAN,GENERAL,2474209
11,Sugauli,NOTA,None of the Above,5227,-93648,,198790,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,VISHAL KUMAR,Janata Dal (United),104450,1443,won,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,SHAMIM AHMAD,Rashtriya Janata Dal,103007,-1443,lost,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,LAL BABU PRASAD,Jan Suraaj Party,7002,-97448,lost,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,MD HARUN RASHID,Independent,1937,-102513,lost,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,WASHISHTH PRASAD,Independent,1006,-103444,lost,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,UMAR FAROOQUE,Independent,816,-103634,lost,223643,PURVI  CHAMPARAN,GENERAL,2474209
12,Narkatia,NOTA,None of the Above,5425,-99025,,223643,PURVI  CHAMPARAN,GENERAL,2474209
13,Harsidhi,KRISHNANANDAN PASWAN,Bharatiya Janata Party,96864,7095,won,202899,PURVI  CHAMPARAN,SC,2474209
13,Harsidhi,RAJENDRA KUMAR,Rashtriya Janata Dal,89769,-7095,lost,202899,PURVI  CHAMPARAN,SC,2474209
13,Harsidhi,AWADHESH KUMAR,Jan Suraaj Party,9568,-87296,lost,202899,PURVI  CHAMPARAN,SC,2474209
