AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
121,Parsa,NOTA,None of the Above,4677,-84416,,181235,SARAN,GENERAL,1865205
122,Sonepur,VINAY KUMAR SINGH,Bharatiya Janata Party,90842,4767,won,199240,SARAN,GENERAL,1865205
122,Sonepur,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,86075,-4767,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,CHANDAN LAL MEHTA,Jan Suraaj Party,11977,-78865,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,RAMESH KUMAR,Independent,3156,-87686,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,ROHIT ROY,Independent,1720,-89122,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,SURENDRA PRASAD YADAV,Janshakti Janta Dal,1235,-89607,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,AJAY KUMAR,Samata Party,1158,-89684,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,DHARAMVEER KUMAR,Nationalist Congress Party,471,-90371,lost,199240,SARAN,GENERAL,1865205
122,Sonepur,NOTA,None of the Above,2606,-88236,,199240,SARAN,GENERAL,1865205
123,Hajipur,AWADHESH SINGH,Bharatiya Janata Party,113221,18509,won,225242,VAISHALI,GENERAL,1748252
123,Hajipur,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,94712,-18509,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,PRATIBHA SINHA,Jan Suraaj Party,4701,-108520,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,SUNIL ROY,Independent,2226,-110995,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,NISHANT GANDHI,Independent,1851,-111370,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,GHANSHYAM KUMAR DAHA,Rashtriya Lok Janshakti Party,1604,-111617,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,ABHISHEK KUMAR,Bahujan Samaj Party,1545,-111676,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,RAMESH KUMAR SINGH,Independent,848,-112373,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,RAJ KUMAR SINGH,Bhartiya Lok Chetna Party,831,-112390,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,RAJ KUMAR PASWAN,Aam Aadmi Party,644,-112577,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,DHEERAJ KUMAR ROY,Yuva Devlop Party,424,-112797,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,INDRADEO ROY,Socialist Unity Centre Of India (COMMUNIST),254,-112967,lost,225242,VAISHALI,GENERAL,1748252
123,Hajipur,NOTA,None of the Above,2381,-110840,,225242,VAISHALI,GENERAL,1748252
124,Lalganj,SANJAY KUMAR SINGH,Bharatiya Janata Party,127650,32167,won,240205,VAISHALI,GENERAL,1748252
124,Lalganj,SHIVANI SHUKLA,Rashtriya Janata Dal,95483,-32167,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,DHIRENDRA KUMAR MAHTO,Independent,4441,-123209,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,AMAR KUMAR SINGH,Jan Suraaj Party,4215,-123435,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,VIDYA PRAKASH,Independent,2148,-125502,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,RAJENDRA PRASAD SINGH,Aam Aadmi Party,1679,-125971,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,ABHISHEK KUMAR SINGH,Independent,970,-126680,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,MD. NIYAJ ALAM,Lok Shakti Party (Loktantrik),611,-127039,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,AKHILESH KUMAR,Independent,461,-127189,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,RAJENDRA SHARMA,Socialist Unity Centre Of India (COMMUNIST),373,-127277,lost,240205,VAISHALI,GENERAL,1748252
124,Lalganj,NOTA,None of the Above,2174,-125476,,240205,VAISHALI,GENERAL,1748252
125,Vaishali,SIDDHARTH PATEL,Janata Dal (United),108377,32590,won,237684,VAISHALI,GENERAL,1748252
125,Vaishali,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,75787,-32590,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,SANJEEV SINGH,Indian National Congress,20395,-87982,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,SUNIL KUMAR,Jan Suraaj Party,9108,-99269,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,BRISHIN PATEL,Independent,4116,-104261,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,RUBI KUMARI,Independent,3174,-105203,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,RAM NATH RAY,Socialist Unity Centre Of India (COMMUNIST),2823,-105554,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,NISHA RAJ,Bahujan Samaj Party,2321,-106056,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,DR. BIPIN CHANDRA,Samata Party,2084,-106293,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,ANAND KUMAR,Independent,1528,-106849,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,RAMEKBAL SINGH,Rashtriya Lok Janshakti Party,1439,-106938,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,RAJ KUMAR,Bajjikanchal Vikas Party,1123,-107254,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,MD. MURTAZA HOSSAIN HAQUE,Ambedkar National Congress,847,-107530,lost,237684,VAISHALI,GENERAL,1748252
125,Vaishali,NOTA,None of the Above,4562,-103815,,237684,VAISHALI,GENERAL,1748252
126,Mahua,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87641,44997,won,211328,VAISHALI,GENERAL,1748252
126,Mahua,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,42644,-44997,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,TEJ PRATAP YADAV,Janshakti Janta Dal,35703,-51938,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,AMIT KUMAR,All India Majlis-E-Ittehadul Muslimeen,15783,-71858,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,ASHMA PARVEEN,Independent,7427,-80214,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,RIMJHIM DEVI,Bahujan Samaj Party,6739,-80902,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,RAM SAGAR SAHNI,Independent,3649,-83992,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,INDRAJEET PRADHAN,Jan Suraaj Party,2386,-85255,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,RAJU MAHTO,Bhartiya Sarthak Party,1372,-86269,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,NARESH RAY,Independent,1110,-86531,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,AMRESH KUMAR,Independent,1005,-86636,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,AKHILESH KUMAR THAKUR,Nationalist Congress Party,1000,-86641,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,SARITA SAH,Independent,940,-86701,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,JAY NARAYAN SAH,Bajjikanchal Vikas Party,652,-86989,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,LALIT KUMAR GHOSH,Socialist Unity Centre Of India (COMMUNIST),560,-87081,lost,211328,VAISHALI,GENERAL,1748252
126,Mahua,NOTA,None of the Above,2717,-84924,,211328,VAISHALI,GENERAL,1748252
127,Raja Pakar,MAHENDRA RAM,Janata Dal (United),96258,48189,won,184018,VAISHALI,SC,1748252
127,Raja Pakar,PRATIMA KUMARI,Indian National Congress,48069,-48189,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,MOHIT PASWAN,Communist Party of India,12990,-83268,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,AJAY KUMAR PASWAN,Independent,5748,-90510,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,MUKESH KUMAR,Jan Suraaj Party,4701,-91557,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,KAVITA KUMARI,Independent,3477,-92781,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,PANKAJ KUMAR,Aazad Samaj Party (Kanshi Ram),2989,-93269,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,SHIVNATH KUMAR PASWAN,Rashtriya Lok Janshakti Party,1983,-94275,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,KRISHNA MOHAN PASWAN,Bahujan Samaj Party,1404,-94854,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,SANJEEV CHOWDHARY,The Plurals Party,1365,-94893,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,UMESH RAM,Socialist Unity Centre Of India (COMMUNIST),1151,-95107,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,ASHOK PASWAN,Sathi Aur Aapka Faisala Party,890,-95368,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,DHARMENDRA KUMAR,Jantantra Awaj Party,474,-95784,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,CHANDAN KUMAR,All India Forward Bloc,382,-95876,lost,184018,VAISHALI,SC,1748252
127,Raja Pakar,NOTA,None of the Above,2137,-94121,,184018,VAISHALI,SC,1748252
128,Raghopur,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,118597,14532,won,238448,VAISHALI,GENERAL,1748252
128,Raghopur,SATISH KUMAR,Bharatiya Janata Party,104065,-14532,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,BALIRAM SINGH,Independent,3086,-115511,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,CHANCHAL KUMAR,Jan Suraaj Party,2399,-116198,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,RAJU KUMAR,Aam Aadmi Party,1322,-117275,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,BAIDYANATH KUMAR SAH,Independent,1039,-117558,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,ANIL SINGH,Nationalist Congress Party,983,-117614,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,SHILAM JHA,Akhil Hind Forward Bloc (Krantikari),794,-117803,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,PREM KUMAR,Janshakti Janta Dal,709,-117888,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,UMESH MAHATO,Rashtriya Jansambhavna Party,454,-118143,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,MOHAMAD RIZWANUL AZAM,Janta Dal Rashtravadi,408,-118189,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,RAM BABU RAY,Jantantra Awaj Party,360,-118237,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,KAVITA KUMARI,Bihar Justice Party,199,-118398,lost,238448,VAISHALI,GENERAL,1748252
128,Raghopur,NOTA,None of the Above,4033,-114564,,238448,VAISHALI,GENERAL,1748252
129,Mahnar,UMESH SINGH KUSHWAHA,Janata Dal (United),98050,38558,won,201787,VAISHALI,GENERAL,1748252
129,Mahnar,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,59492,-38558,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,SANJAY KUMAR RAY,Independent,14153,-83897,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,VIPIN KUMAR,Independent,7657,-90393,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,DR. RAJESH KUMAR,Jan Suraaj Party,4512,-93538,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,ACHUTANAND,Rashtriya Lok Janshakti Party,2554,-95496,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,SUBODH SINGH,Independent,2029,-96021,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,RAMESH SAHNI,Independent,1974,-96076,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,MITHILESH KUMAR SINGH,Independent,1826,-96224,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,SHIVESHWAR KUMAR,Independent,1729,-96321,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,OM PRABHA KUMARI,Bahujan Samaj Party,1693,-96357,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,VIPIN KUMAR,Aam Aadmi Party,1407,-96643,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,JAI SINGH,Janshakti Janta Dal,849,-97201,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,CHANDAN KUMAR,Independent,743,-97307,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,MITHILESH KUMAR SINGH SATHI,Sathi Aur Aapka Faisala Party,611,-97439,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,RAVIRANJAN KUMAR SINGH,Vikas Insaf Party,433,-97617,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,KIRAN YADAV,Independent,406,-97644,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,YOGANAND KUMAR SINGH KUSVAHA,Ambedkar National Congress,348,-97702,lost,201787,VAISHALI,GENERAL,1748252
129,Mahnar,NOTA,None of the Above,1321,-96729,,201787,VAISHALI,GENERAL,1748252
130,Patepur,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,108356,22380,won,209540,VAISHALI,SC,1748252
130,Patepur,PREMA CHAUDHARY,Rashtriya Janata Dal,85976,-22380,lost,209540,VAISHALI,SC,1748252
130,Patepur,DASAI CHAUDHARY,Jan Suraaj Party,4181,-104175,lost,209540,VAISHALI,SC,1748252
130,Patepur,SANJAY PASWAN,Independent,3423,-104933,lost,209540,VAISHALI,SC,1748252
130,Patepur,MIRA DEVI,Bahujan Samaj Party,1596,-106760,lost,209540,VAISHALI,SC,1748252
130,Patepur,SUNAINA DEVI,Independent,1260,-107096,lost,209540,VAISHALI,SC,1748252
130,Patepur,FAGUNI MANJHI,Independent,846,-107510,lost,209540,VAISHALI,SC,1748252
130,Patepur,RINA KUMARI,Janshakti Janta Dal,559,-107797,lost,209540,VAISHALI,SC,1748252
130,Patepur,ANIL PASWAN,Independent,380,-107976,lost,209540,VAISHALI,SC,1748252
130,Patepur,AWANISH,Independent,365,-107991,lost,209540,VAISHALI,SC,1748252
130,Patepur,NOTA,None of the Above,2598,-105758,,209540,VAISHALI,SC,1748252
131,Kalyanpur,MAHESHWAR HAZARI,Janata Dal (United),118162,38586,won,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),79576,-38586,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,RAM BALAK PASWAN,Jan Suraaj Party,16574,-101588,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,RAJEEV KUMAR,Independent,5631,-112531,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,RATNESHWAR RAM,Bahujan Samaj Party,3805,-114357,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,MANTESH KUMAR,Independent,3193,-114969,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,MADHU KRISHNAJI RAM,Socialist Unity Centre Of India (COMMUNIST),2497,-115665,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,OM PRAKASH,Independent,1603,-116559,lost,239675,SAMASTIPUR,SC,2115647
131,Kalyanpur,NOTA,None of the Above,8634,-109528,,239675,SAMASTIPUR,SC,2115647
132,Warisnagar,MANJARIK MRINAL,Janata Dal (United),108968,34436,won,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),74532,-34436,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,SATYANARAYAN SAHANI,Jan Suraaj Party,13081,-95887,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,ABHINAV RAJ,Independent,7255,-101713,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,ZAHID IQBAL,Independent,5430,-103538,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,GOVIND KUMAR,Rashtriya Lok Janshakti Party,4178,-104790,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,UPENDRA PRASAD ROY,Aam Aadmi Party,3591,-105377,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,CHANDAN KUMAR,Hindustani Awam Manch (United),3130,-105838,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,MAHESH PRASAD,Independent,2710,-106258,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,DILIP ROY,Independent,2568,-106400,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,KANCHAN KUMARI BHARTI,Bahujan Samaj Party,1547,-107421,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,SHAKTI KUMAR SAHNI,Right to Recall Party,1299,-107669,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,RAM KUMAR,Rashtriya Jansambhavna Party,889,-108079,lost,234783,SAMASTIPUR,GENERAL,2115647
132,Warisnagar,NOTA,None of the Above,5605,-103363,,234783,SAMASTIPUR,GENERAL,2115647
133,Samastipur,ASHWAMEDH DEVI,Janata Dal (United),95728,13875,won,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,81853,-13875,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,CHETNA JHAMB,Independent,6193,-89535,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,MANOJ KUMAR SINGH,Jan Suraaj Party,4938,-90790,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,RAJAN KUMAR,Aam Aadmi Party,1715,-94013,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,SHIVAM KUMAR RAJ,The Plurals Party,939,-94789,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,NITESH KUMAR SINHA,Bharatiya Sampuran Krantikari Party,684,-95044,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,VINAY KUMAR RAM,Bahujan Samaj Party,591,-95137,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,RAKESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),492,-95236,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,DINESH KUMAR RAI,Rashtriya Jansambhavna Party,432,-95296,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,PREMJEET KUMAR,Aadarsh Mithila Party,431,-95297,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,IRSHAD AHMAD,Apna Kisan Party,342,-95386,lost,198865,SAMASTIPUR,GENERAL,2115647
133,Samastipur,NOTA,None of the Above,4527,-91201,,198865,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102707,16283,won,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,86424,-16283,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,DURGA PRASAD SINGH,Jan Suraaj Party,9502,-93205,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,UPENDRA KUMAR,Independent,6452,-96255,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,RANVEER KUMAR CHOURASIYA,Independent,3463,-99244,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,MAHA SHANKER CHOUDHARY,Independent,3177,-99530,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,VIRENDRA KUMAR RAY,Independent,3077,-99630,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,SUNITA KUMARI,Janshakti Vikas Party (Democratic),2661,-100046,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,ANKIT KUMAR MISHRA,Aam Aadmi Party,2624,-100083,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,BULBUL KUMAR SAHNI,Bahujan Samaj Party,2452,-100255,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,VIKAS KUMAR,Independent,1744,-100963,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,NIKKI JHA,Independent,995,-101712,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,DINESH PRASAD CHOUDHARY,Independent,987,-101720,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,ARUN KUMAR YADAV,Independent,893,-101814,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,DILIP KUMAR SAHANI,Independent,760,-101947,lost,229995,SAMASTIPUR,GENERAL,2115647
134,Ujiarpur,NOTA,None of the Above,2077,-100630,,229995,SAMASTIPUR,GENERAL,2115647
135,Morwa,RANVIJAY SAHU,Rashtriya Janata Dal,77770,8671,won,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),69099,-8671,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,ABHAY KUMAR SINGH,Independent,30046,-47724,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,JAGRITI,Jan Suraaj Party,4131,-73639,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,RANJEET KUMAR,Apna Kisan Party,3259,-74511,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,TUNTUN RAY,Aam Aadmi Party,3145,-74625,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,CHANDRASHEKHAR RAI,Socialist Unity Centre Of India (COMMUNIST),2728,-75042,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,BRIJENDU KUMAR SINGH,Hindustani Awam Manch (United),1684,-76086,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,SANTHOSH RAI,Bahujan Samaj Party,1288,-76482,lost,196721,SAMASTIPUR,GENERAL,2115647
135,Morwa,NOTA,None of the Above,3571,-74199,,196721,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,VIJAY KUMAR CHOUDHARY,Janata Dal (United),102792,20798,won,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,81994,-20798,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,KUNAL KUMAR,Independent,6182,-96610,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,SAJAN KUMAR MISHRA,Jan Suraaj Party,5493,-97299,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,RANJIT KUMAR PANDIT,Independent,4059,-98733,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,RAM SAGAR ROY,Apna Kisan Party,1484,-101308,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,AMRENDRA KUMAR SINGH,Independent,1129,-101663,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,ASHOK KUMAR ANJANA,Independent,628,-102164,lost,208189,SAMASTIPUR,GENERAL,2115647
136,Sarairanjan,NOTA,None of the Above,4428,-98364,,208189,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,RAJESH KUMAR SINGH,Bharatiya Janata Party,89208,11682,won,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,EJYA YADAV,Rashtriya Janata Dal,77526,-11682,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,RAJKAPOOR SINGH,Jan Suraaj Party,4414,-84794,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,VISHWANATH SAH,Independent,2230,-86978,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,SUNIL KUMAR RAY,Independent,2025,-87183,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,AJAY KUMAR BULGANIN,Janshakti Janta Dal,1498,-87710,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,AMRENDRA KUMAR YADAV,Bahujan Samaj Party,1244,-87964,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,SURJEET SHYAMAL,Independent,750,-88458,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,ABHIRANJAN KUMAR,Independent,704,-88504,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,UMESH RAY,Aam Aadmi Party,526,-88682,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,517,-88691,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,RAM MOHAN RAY,Sathi Aur Aapka Faisala Party,401,-88807,lost,183240,SAMASTIPUR,GENERAL,2115647
137,Mohiuddinnagar,NOTA,None of the Above,2197,-87011,,183240,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,AJAY KUMAR,Communist Party of India (Marxist),79246,10281,won,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,RAVINA KUSHWAHA,Janata Dal (United),68965,-10281,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,RUPANJALI KUMARI,Independent,14456,-64790,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,VISHWANATH CHOUDHARY,Jan Suraaj Party,13450,-65796,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,ARVIND KUMAR,Aam Aadmi Party,2574,-76672,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,RAM LAL TANTI,Independent,2313,-76933,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,SHASHI BHUSHAN DAS,Independent,1866,-77380,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,SUSHANT KUMAR,Independent,1782,-77464,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,NEEL KAMAL,Janshakti Janta Dal,1518,-77728,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,AWADHESH KUMAR,Bahujan Samaj Party,1462,-77784,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,AMARJEET KUMAR,Independent,1308,-77938,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,KANHAIYA KUMAR,Independent,957,-78289,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,PRAHLAD,Independent,901,-78345,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,NAVIN KUMAR,Independent,713,-78533,lost,196318,SAMASTIPUR,GENERAL,2115647
138,Bibhutipur,NOTA,None of the Above,4807,-74439,,196318,SAMASTIPUR,GENERAL,2115647
139,Rosera,BIRENDRA KUMAR,Bharatiya Janata Party,122773,50533,won,223149,SAMASTIPUR,SC,2115647
139,Rosera,BRAJ KISHORE RAVI,Indian National Congress,72240,-50533,lost,223149,SAMASTIPUR,SC,2115647
139,Rosera,ROHIT KUMAR,Jan Suraaj Party,14913,-107860,lost,223149,SAMASTIPUR,SC,2115647
139,Rosera,RAJESH KUMAR PASWAN,Independent,3885,-118888,lost,223149,SAMASTIPUR,SC,2115647
139,Rosera,DEVENDRA KUMAR PASWAN,Bhartiya Mahasangh Party,3574,-119199,lost,223149,SAMASTIPUR,SC,2115647
