AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
76,Simri Bakhtiarpur,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),109699,7930,won,233725,SAHARSA,GENERAL,902898.0,2-10K,0,0,1,0,0,0,2
77,Mahishi,GAUTAM KRISHNA,Rashtriya Janata Dal,93752,3740,won,202966,SAHARSA,GENERAL,902898.0,2-10K,0,0,1,0,0,0,2
78,Kusheshwar Asthan,ATIREK KUMAR,Janata Dal (United),85685,36441,won,163976,DARBHANGA,SC,1847817.0,25-50K,0,0,0,0,1,0,2
79,Gaura Bauram,SUJIT KUMAR,Bharatiya Janata Party,77682,5669,won,168223,DARBHANGA,GENERAL,1847817.0,2-10K,0,0,1,0,0,0,2
80,Benipur,BINAY KUMAR CHOUDHARY,Janata Dal (United),84207,13603,won,188366,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
81,Alinagar,MAITHILI THAKUR,Bharatiya Janata Party,84915,11730,won,173117,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
82,Darbhanga Rural,RAJESH KUMAR MANDAL,Janata Dal (United),80624,18392,won,183048,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
83,Darbhanga,SANJAY SARAOGI,Bharatiya Janata Party,97453,24593,won,196236,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
84,Hayaghat,RAM CHANDRA PRASAD,Bharatiya Janata Party,77222,11839,won,169035,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
85,Bahadurpur,MADAN SAHNI,Janata Dal (United),96300,12011,won,212863,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
86,Keoti,MURARI MOHAN JHA,Bharatiya Janata Party,89123,7305,won,192588,DARBHANGA,GENERAL,1847817.0,2-10K,0,0,1,0,0,0,2
87,Jale,JIBESH KUMAR,Bharatiya Janata Party,100496,21862,won,200365,DARBHANGA,GENERAL,1847817.0,10-25K,0,0,0,1,0,0,2
88,Gaighat,KOMAL SINGH,Janata Dal (United),108104,23417,won,223779,MUZAFFARPUR,GENERAL,2163427.0,10-25K,0,0,0,1,0,0,2
89,Aurai,RAMA NISHAD,Bharatiya Janata Party,104085,57206,won,207920,MUZAFFARPUR,GENERAL,2163427.0,>50K,0,0,0,0,0,1,3
90,Minapur,AJAY KUMAR,Janata Dal (United),113411,34238,won,219843,MUZAFFARPUR,GENERAL,2163427.0,25-50K,0,0,0,0,1,0,2
91,Bochahan,BABY KUMARI,Lok Janshakti Party (Ram Vilas),108186,20316,won,218853,,,,10-25K,0,0,0,1,0,0,2
92,Sakra,ADITYA KUMAR,Janata Dal (United),98723,15050,won,206108,MUZAFFARPUR,SC,2163427.0,10-25K,0,0,0,1,0,0,2
93,Kurhani,KEDAR PD GUPTA,Bharatiya Janata Party,107811,9718,won,231884,MUZAFFARPUR,GENERAL,2163427.0,2-10K,0,0,1,0,0,0,2
94,Muzaffarpur,RANJAN KUMAR,Bharatiya Janata Party,100477,32657,won,188071,MUZAFFARPUR,GENERAL,2163427.0,25-50K,0,0,0,0,1,0,2
95,Kanti,AJIT KUMAR,Janata Dal (United),117299,25795,won,232600,MUZAFFARPUR,GENERAL,2163427.0,25-50K,0,0,0,0,1,0,2
96,Baruraj,ARUN KUMAR SINGH,Bharatiya Janata Party,96879,29052,won,205509,MUZAFFARPUR,GENERAL,2163427.0,25-50K,0,0,0,0,1,0,2
97,Paroo,SHANKAR PRASAD,Rashtriya Janata Dal,95272,28827,won,228163,MUZAFFARPUR,GENERAL,2163427.0,25-50K,0,0,0,0,1,0,3
98,Sahebganj,RAJU KUMAR SINGH,Bharatiya Janata Party,106322,13522,won,219550,MUZAFFARPUR,GENERAL,2163427.0,10-25K,0,0,0,1,0,0,2
99,Baikunthpur,MITHILESH TIWARI,Bharatiya Janata Party,104133,16953,won,212287,GOPALGANJ,GENERAL,1216535.0,10-25K,0,0,0,1,0,0,2
100,Barauli,MANJEET KUMAR SINGH,Janata Dal (United),88657,12374,won,194177,GOPALGANJ,GENERAL,1216535.0,10-25K,0,0,0,1,0,0,2
101,Gopalganj,SUBHASH SINGH,Bharatiya Janata Party,96892,28972,won,198872,GOPALGANJ,GENERAL,1216535.0,25-50K,0,0,0,0,1,0,2
102,Kuchaikote,AMRENDRA KUMAR PANDEY,Janata Dal (United),101425,24491,won,202020,GOPALGANJ,GENERAL,1216535.0,10-25K,0,0,0,1,0,0,2
103,Bhorey,SUNIL KUMAR,Janata Dal (United),101469,16163,won,213121,GOPALGANJ,SC,1216535.0,10-25K,0,0,0,1,0,0,2
104,Hathua,RAMSEWAK SINGH,Janata Dal (United),92121,12348,won,196058,GOPALGANJ,GENERAL,1216535.0,10-25K,0,0,0,1,0,0,2
105,Siwan,MANGAL PANDEY,Bharatiya Janata Party,92379,9370,won,190582,SIWAN,GENERAL,1302745.0,2-10K,0,0,1,0,0,0,2
106,Ziradei,BHISM PRATAP SINGH,Janata Dal (United),66227,2626,won,157926,SIWAN,GENERAL,1302745.0,2-10K,0,0,1,0,0,0,2
107,Darauli,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),83014,9572,won,175213,SIWAN,SC,1302745.0,2-10K,0,0,1,0,0,0,2
108,Raghunathpur,OSAMA SHAHAB,Rashtriya Janata Dal,88278,9248,won,180874,SIWAN,GENERAL,1302745.0,2-10K,0,0,1,0,0,0,2
109,Daraunda,KARNJEET SINGH ALIAS VYAS SINGH,Bharatiya Janata Party,87047,18367,won,185136,,,,10-25K,0,0,0,1,0,0,2
110,Barharia,INDRADEV SINGH,Janata Dal (United),93600,12136,won,196995,SIWAN,GENERAL,1302745.0,10-25K,0,0,0,1,0,0,2
111,Goriakothi,DEVESH KANT SINGH,Bharatiya Janata Party,105909,12385,won,213345,SIWAN,GENERAL,1302745.0,10-25K,0,0,0,1,0,0,2
112,Maharajganj,HEM NARAYAN SAH,Janata Dal (United),86813,21099,won,187810,SIWAN,GENERAL,1302745.0,10-25K,0,0,0,1,0,0,2
